season,bets,final_PnL_$,odds_used
0304,335,-2983.9000000000005,B365H
0405,335,-2252.0,B365H
0506,380,1990.0,B365H
0607,380,764.0,B365H
0708,380,-2960.0,B365H
0809,380,-1803.0,B365H
0910,380,3602.0,B365H
1011,380,278.0,B365H
1112,380,-1523.0,B365H
1213,380,-3721.0,PSCH
1314,380,710.0,PSCH
1415,380,-225.0,PSCH
1516,380,-3156.0,PSCH
1617,380,3017.0,PSCH
1718,380,1157.0,PSCH
1819,380,2445.0,PSCH
1920,380,2017.0,B365CH
2021,380,-6142.0,B365CH
2122,380,-4072.0,B365CH
2223,380,2573.0,B365CH
2324,380,-2905.0,B365CH
2425,380,-6974.0,B365CH
2526,200,-233.0,B365CH
